
Price,Bed_number,Bath_number,Square_foot,Info4,Description,Content,Name
"$3,900 per month",3-5 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 5 BED 2 BATH FOR RENT IN MEDFORD!AVAILABLE ON 9.1.2025!Features:~ laundry in building~ dishwasher~ furnished~ hardwood floors~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand","57 Quincy St, Medford, MA 02155",
"$4,100 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED 1 BATH FOR RENT IN MEDFORD!AVAILABLE ON 6.1.2025!Features:~ laundry in building~ dishwasher~ balcony~ hardwood floors~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand","27 Princeton St, Medford, MA 02155",
"$7,800 per month",6 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"AMAZING 6 BED 2 BATH IN MEDFORD!AVAILABLE ON 6.1.2025!Features:~ laundry in building~ dishwasher~ modern kitchen/bath~ hardwood floors~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand","44 Adams St Unit 44, Medford, MA 02155",
"$8,100 per month",3-6 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 3 BED 1 BATH FOR RENT IN MEDFORD!AVAILABLE ON 6.1.2025!Features:~ dishwasher~ modern kitchen/bath~ good storage~ large rooms~ hardwood floors~ high ceilings~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand","64 Frederick Ave, Medford, MA 02155",
"$5,000 per month",3-4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 3 BED 1 BATH FOR RENT IN MEDFORD!AVAILABLE ON 6.1.2025!Features:~ laundry in building~ dishwasher~ modern kitchen/bath~ hardwood floors~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in","58 Buzzells Ln, Medford, MA 02155",
"$3,750 per month",3-4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 3 BED 1 BATH FOR RENT IN MEDFORD!AVAILABLE ON 6.1.2025!Features:~ laundry in building~ dishwasher~ modern kitchen/bath~ hardwood floors~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in","58 Buzzells Ln, Medford, MA 02155",
"$8,100 per month",6 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 6 BED 2 BATH FOR RENT IN MEDFORD!AVAILABLE ON 6.1.2025!Features:~ dishwasher~ modern kitchen/bath~ spacious~ balcony~ high ceilings ~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions","60 Frederick Ave Unit 60, Medford, MA 02155",
"$4,200 per month",3 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 3 BED 1 BATH FOR RENT IN MEDFORD!AVAILABLE ON 6.1.2025!Features:~ laundry in building~ dishwasher~ modern kitchen/bath~ hardwood floors~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in","20 Hillsdale Rd Unit 1, Medford, MA 02155",
"$3,000 per month",2 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 2 BED 1 BATH FOR RENT IN MEDFORD!AVAILABLE ON 6.1.2025!Features:~ laundry in building~ dishwasher~ modern kitchen/bath~ hardwood floors~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in","19 Berwick Rd Unit 19, Medford, MA 02155",
"$5,400 per month",4 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED 2 BATH FOR RENT IN MEDFORD!AVAILABLE ON 6.1.2025!Features:~ laundry in building~ dishwasher~ modern kitchen~ balcony/porch~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand","17 Berwick Rd Unit 17, Medford, MA 02155",
"$4,050 per month",3-6 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 3 BED 1 BATH FOR RENT IN MEDFORD!AVAILABLE ON 6.1.2025!Features:~ dishwasher~ modern kitchen/bath~ good storage~ large rooms~ hardwood floors~ high ceilings~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand","64 Frederick Ave, Medford, MA 02155",
"$8,050 per month",6 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"BEAUTIFUL 7 BED 2 BATH FOR RENT IN MEDFORD!AVAILABLE ON 9.1.2025!Features:~ laundry in unit~ dishwasher~ granite countertops~ deck/balcony~ high ceilings~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand","53 Bristol Rd Unit 2, Medford, MA 02155",
"$3,850 per month",3 Beds,2 Baths,"1,200 Sq Ft",Townhouse for Rent,,"44 William St, Medford, MA 02155",
"$4,595 per month",5 Beds,2 Baths,"1,600 Sq Ft",Townhouse for Rent,,"68 Winchester St, Medford, MA 02155",
"$2,575 per month",2 Beds,1 Bath,"1,000 Sq Ft",Townhouse for Rent,,"17 Princeton St, Medford, MA 02155",
"$4,200 per month",3 Beds,1 Bath,950 Sq Ft,Townhouse for Rent,,"119 Burget Ave, Medford, MA 02155",
"$3,850 per month",3 Beds,2 Baths,999 Sq Ft,House for Rent,"Features: Hardwood Floors|Dishwasher|Disposal|Granite Countertops|New/Renovated Kitchen|Stainless Steel Appliances|New/Renovated Bath|Laundry in Building|Yard 3BR/1.5BA. Located on William St in Medford, just off of Broadway (right along the Somerville/Medford line). Newly renovated. All refinished hardwood floors throughout. Brand new kitchen featuring all new Modern GE slate appliances","44 William St, Medford, MA 02155",
"$3,850 per month",3 Beds,2 Baths,"1,050 Sq Ft",Condo for Rent,,"44 William St Unit 2, Medford, MA 02155",
"$3,850 per month",3 Beds,2 Baths,"1,050 Sq Ft",Condo for Rent,,"42 William St Unit 2, Medford, MA 02155",
"$4,225 per month",4-5 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED FOR RENT IN MEDFORD!AVAILABLE 9.1.25Features:~ dishwasher~ eat-in kitchen~ good natural lighting~ tall ceiling~ exposed brickCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from sources has","227 Boston Ave, Medford, MA 02155",
"$4,500 per month",4 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"HUGE 4 BED 2 BATH FOR RENT IN MEDFORD!AVAILABLE FOR 9.1.25 MOVE INFeatures:~huge living room ~2 full bathrooms ~laundry in unit ~large bedrooms ~great natural lighting CALL NOW TO SCHEDULE A SHOWING - DONT WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice.","55 Kenmere Rd Unit 1, Medford, MA 02155",
"$4,225 per month",5 Beds,2 Baths,"2,200 Sq Ft",Townhouse for Rent,,"227 Boston Ave, Medford, MA 02155",
"$4,800 per month",4 Beds,1 Bath,"1,500 Sq Ft",Condo for Rent,Available  6/1/25.  Spacious 4 bedroom 1 bathroom in Medford near Tufts University. Hardwood floors throughout.  Eat-in kitchen with dishwasher.  Shared off street parking. (Reference #180385),"10 Greenleaf Ave Unit 2, Medford, MA 02155",
"$6,600 per month",6 Beds,1.5 Baths,"2,200 Sq Ft",Condo for Rent,"Newly renovated with tons of light and nice high ceilings.Open layout. Over the 2nd & 3rd floors this unit is quite large, with gleaming hardwood floors, in unit laundry.  Located in the Tufts Area of Medford, 15 minute walk to Davis SQ T.  Amazing patio with a garden. 3-4 off street parking spots are included. (Reference #172892)","252 Harvard St Unit 1, Medford, MA 02155",
"$4,225 per month",4 Beds,2 Baths,"1,800 Sq Ft",Condo for Rent,"VERY LARGE, Beautifully RENOVATED, OPEN LIVING SPACE, 2nd and 3rd floor of a meticulously maintained 2 family house on quiet tree lined street...4 Good sized bedrooms, Eat in kitchen ( with all new STAINLESS STEEL APPLIANCES) , LARGE, OPEN LIVING ROOM & DINING ROOM w/ Decorative Fireplace, 2nd small Living room ( or large study) between the 2 3rd floor bedrooms... There is a 5th BR ( which is a","124 Bonner Ave Unit 2, Medford, MA 02155",
"$6,975 per month",6 Beds,5.5 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 6 BED FOR REN TIN MEDFORD!AVAILABLE 6.1.25Features:~ hardwood floors~ modern kitchen~ dishwasher~ good natural lighting~ tall ceilingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from sources has","5 Malvern Terrace, Medford, MA 02155",
"$5,300 per month",4 Beds,4.5 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED FOR RENT IN MEDFORD!AVAILABLE 6.1.25Features:~ laundry in unit~ good natural lighting~ tall ceiling~ modern kitchen~ dishwasher~ spacious living areaCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice.","487 Fulton St, Medford, MA 02155",
"$6,250 per month",5 Beds,1 Bath,999 Sq Ft,Condo for Rent,,"14 Fairmount St Unit 1, Medford, MA 02155",
"$3,900 per month",3 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,"Spacious 3 bedroom apartment near Tufts University. Apartment features hardwood floors, dishwasher/disposal, back porch/small yard. Living room with built-in hutch. Ceiling fans. Laundry in basement.Video tour available upon request. Tours by appointment. Call or email today.","59 Quincy St Unit 1, Medford, MA 02155",
"$4,350 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED FOR RENT IN MEDFORD!AVAILABLE 9.1.25Features:~ hardwood floors~ spacious living area~ good natural lighting~ tall ceiling~ modern bathCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from","27 Princeton St Unit 2, Medford, MA 02155",
"$3,600 per month",3 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 3 BED FOR RENT IN MEDFORD!AVAILABLE 11.1.24Features:~ hardwood floors~ good natural lighting~ modern kitchen~ tall ceilings~ spacious living areaCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from","20 Burget Ave Unit 2, Medford, MA 02155",
"$4,000 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 4 BED FOR RENT IN MEDFORD!AVAILABLE 12.1.24Features:~ rent includes water~ hardwood floors~ good natural lighting~ tall ceilings~ modern kitchen~ dishwasherCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice.","10 Pinkham Rd Unit 2, Medford, MA 02155",
"$2,595 per month",1 Bed,1 Bath,"9,999 Sq Ft",Condo for Rent,,"971 Fellsway Unit 9, Medford, MA 02155",
"$4,200 per month",3 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 3 BED FOR RENT IN MEDFORD!AVAILABLE 6.1.25Features:~ hardwood floors~ modern kitchen~ dishwasher~ good natural lighting~ spacious living areaCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from","119 Burget Ave Unit 2nd floor, Medford, MA 02155",
"$7,500 per month",6 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 6 BED FOR RENT IN MEDFORD!AVAILABLE 6.1.25Features:~ hardwood floors~ dishwasher~ eat-in kitchen~ good natural lighting~ spacious living areaCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from","60 Frederick Ave, Medford, MA 02155",
"$3,000 per month",2 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 2 BED FOR RENT IN MEDFORD!AVAILABLE 6.1.25Features:~ hardwood floors~ great natural lighting~ spacious living area~ dishwasher~ modern kitchenCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from","19 Berwick Rd, Medford, MA 02155",
"$7,500 per month",6 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"GORGEOUS 6 BED FOR RENT IN MEDFORD!AVAILABLE 6.1.25Features:~ hardwood floors~ good natural lighting~ tall ceiling~ modern kitchen~ dishwasherCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT!______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from sources has","66 Frederick Ave, Medford, MA 02155",
"$3,600 per month",3 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,,"442 Broadway Unit 1, Somerville, MA 02145",
"$6,975 per month",6 Beds,5.5 Baths,"9,999 Sq Ft",Condo for Rent,"EXCELLENT 6 BED 5.5 BATH FOR RENT IN MEDFORD!AVAILABLE FOR 6.1.25Features:~5 full bathrooms, 1 half bath ~tall ceilings ~massive living room space ~large bedrooms ~great natural lighting CALL NOW TO SCHEDULE A SHOWING - DONT WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions","5 Malvern Terrace Unit 1, Medford, MA 02155",
"$5,300 per month",4 Beds,4.5 Baths,"9,999 Sq Ft",Condo for Rent,"EXCELLENT 4 BED 4.5 BATH FOR RENT IN MEDFORD!AVAILABLE FOR 6.1.25 MOVE IN! Features:~hardwood flooring ~massive living room ~laundry in unit ~4 full bathrooms, 1 half bath ~tall ceilings CALL NOW TO SCHEDULE A SHOWING - DONT WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions","480 Fulton St Unit 1, Medford, MA 02155",
"$3,875 per month",4 Beds,2 Baths,"1,350 Sq Ft",Condo for Rent,"9 Medford St., Medford, MA 02155 – Convenient & Vibrant LocationLocated in the heart of Medford, MA, 9 Medford St. offers a prime location with excellent access to nearby amenities, transportation, and recreation. Situated just minutes from Medford Square, this area provides a mix of urban convenience and suburban charm.Key Highlights:•Transportation: Easy access to I-93, making","9 Medford St Unit 4-bed, Medford, MA 02155",
"$3,875 per month",4 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,"LARGE 4 BED 2 BATH FOR RENT IN MEDFORD!AVAILABLE FOR 9.1.25! Features:~gas range ~2 full bathrooms ~laundry in building ~eat in kitchen ~large living room CALL NOW TO SCHEDULE A SHOWING - DONT WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from","9 Medford St Unit 3, Medford, MA 02155",
"$4,595 per month",5 Beds,2 Baths,"1,600 Sq Ft",Condo for Rent,,"68 Winchester St, Medford, MA 02155",
"$4,800 per month",3-4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"EXCELLENT 4 BED FOR RENT IN MEDFORD!AVAILBALE FOR 9.1.25! Features:~eat in kitchen ~laundry in building ~tall ceilings ~large bedrooms ~great natural lighting CALL NOW TO SCHEDULE A SHOWING - DONT WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information","112 College Ave, Medford, MA 02155",
"$3,600 per month",3-4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"EXCELLENT 4 BED FOR RENT IN MEDFORD!AVAILBALE FOR 9.1.25! Features:~eat in kitchen ~laundry in building ~tall ceilings ~large bedrooms ~great natural lighting CALL NOW TO SCHEDULE A SHOWING - DONT WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information","112 College Ave, Medford, MA 02155",
"$5,200 per month",4 Beds,1 Bath,"1,200 Sq Ft",Condo for Rent,,"77 Pearson Rd, Somerville, MA 02144",
"$4,200 per month",4 Beds,3 Baths,"2,000 Sq Ft",Condo for Rent,,"231 Spring St, Medford, MA 02155",
"$2,700 per month",2 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,,"157 Spring St, Medford, MA 02155",
"$2,700 per month",2 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,,"17 Dwyer Cir, Medford, MA 02155",
"$3,600 per month",3 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,,"112 College Ave, Medford, MA 02155",
"$3,000 per month",2 Beds,1.5 Baths,800 Sq Ft,Condo for Rent,,"29 Capen St, Medford, MA 02155",
"$4,200 per month",Studio,950 Sq Ft,Condo for Rent,,,"119 Burget Ave, Medford, MA 02155",
"$6,500 per month",5 Beds,2 Baths,"1,200 Sq Ft",Condo for Rent,,"136 Burget Ave, Medford, MA 02155",
"$7,800 per month",6 Beds,3 Baths,"2,000 Sq Ft",Condo for Rent,,"17 Tesla Ave, Medford, MA 02155",
"$4,000 per month",3 Beds,2.5 Baths,"1,905 Sq Ft",Condo for Rent,,"12 Ship Ave, Medford, MA 02155",
"$3,000 per month",2 Beds,2 Baths,900 Sq Ft,Condo for Rent,,"22 Bradlee Rd, Medford, MA 02155",
"$6,000 per month",4 Beds,2 Baths,"2,500 Sq Ft",Condo for Rent,,"39 Bonner Ave, Medford, MA 02155",
"$6,500 per month",5 Beds,2 Baths,"1,200 Sq Ft",Condo for Rent,,"57 Quincy St, Medford, MA 02155",
"$4,600 per month",4 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"Spacious 4-Bedroom, 1-Bath Apartment in Medford, MA – Near Tufts Medical & Prime LocationLocated in a prime Medford location near Tufts Medical, this spacious 4-bedroom, 1-bath apartment offers both convenience and charm. With large rooms and plenty of natural light, this home is perfect for comfortable living close to everything you need.-Bright & Sunny Bedrooms: All four","82 Quincy St Unit 2, Medford, MA 02155",
"$4,050 per month",3 Beds,1 Bath,950 Sq Ft,Condo for Rent,,"117 Burget Ave Unit 1, Medford, MA 02155",
"$3,200 per month",2 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,,"17 Princeton St, Medford, MA 02155",
"$4,500 per month",3 Beds,2 Baths,"1,500 Sq Ft",Townhouse for Rent,"Large Medford townhome situated on a corner lot and paved driveway. The home features 3 spacious bedrooms on the upper lever and two bonus bedrooms and a second living area on the lower level. Two bathrooms and a spacious eat in kitchen, hardwood floors throughout, and in-unit washer/dryer. Close to Assembly Row and Wegman's, with easy access to downtown Boston via 325 Express Bus and the Orange","349 Salem St, Medford, MA 02155",
"$3,375 per month",3 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,,"258 Boston Ave Unit 3, Medford, MA 02155",
"$4,600 per month",4 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,,"33 Stearns Ave Unit 2, Medford, MA 02155",
"$4,800 per month",4 Beds,2 Baths,"9,999 Sq Ft",Condo for Rent,,"45 Pearl St Unit 1, Medford, MA 02155",
"$5,300 per month",4 Beds,4.5 Baths,"2,100 Sq Ft",Townhouse for Rent,"476-478 Fulton St. Unit is 478. Large new construction townhouse in Medford - Four bedrooms, four and a half bathrooms. Great location! Large open kitchen with new high end stainless steel appliances, granite, and fixtures. Hardwood floors throughout. Central A/C and in unit washer and dryer. Several private suites. Easy street parking and off street parking available. Available June 1st. Pet","476 Fulton St, Medford, MA 02155",
"$4,250 per month",3 Beds,2 Baths,"1,680 Sq Ft",Townhouse for Rent,"Charming 3-Bed Townhouse Prime Medford LocationDiscover this stylish 3-bed, 2.5-bath townhouse that blends comfort and convenience. The bright, open floor plan features sleek hardwood floors, fully updated kitchen and bathrooms and abundant natural light. Enjoy off-street parking with a 2-car garage. Minutes from I-93, Boston, Medford Square, and Assembly Row, with shops, dining, and parks nearby.","105 Myrtle St, Medford, MA 02155",
"$6,975 per month",6 Beds,5.5 Baths,"2,215 Sq Ft",Condo for Rent,"Recently renovated single family home in Medford near Tufts University. Home has 6 bedrooms, 5.5 baths and is available June 1.  High-end finishes throughout, including hardwood, stainless steel appliances, and granite countertops.  Large back deck, plus off-street parking, and washer/dryer in unit.","5 Malvern Terrace Unit 5, Medford, MA 02155",
"$4,675 per month",3 Beds,2.5 Baths,"2,000 Sq Ft",House for Rent,"Welcome to this well maintained single family home in desirable West Medford. The first level includes a spacious living room, dining room, updated kitchen, half bath, and large sunroom with lots of natural light. Upstairs you'll find three spacious bedrooms and a full bathroom. There is also finished walk up attic space that can be accessed through one of the bedrooms. The finished walk out","54 Mystic St, Medford, MA 02155",
"$4,600 per month",6 Beds,3 Baths,"2,483 Sq Ft",House for Rent,"This property at 94 Monument St features 6 bedrooms and 3 bathrooms, offering a total of 2,483 square feet of living space. The spacious living room provides ample room for relaxation and gatherings. Each of the bedrooms is designed to accommodate various living arrangements, while the bathrooms are equipped with essential fixtures. The property includes a washer and dryer for added convenience.","94 Monument St, Medford, MA 02155",
"$4,600 per month",4 Beds,2 Baths,"2,000 Sq Ft",Condo for Rent,"Available for 12/1/2024 BRAND NEW BATHROOMS with floor to ceiling marble tiles. This beautifully updated home offers a blend of style, comfort, and convenience. Located in a highly desirable area close to Tufts and public transportation, the residence boasts an abundance of natural sunlight, highlighting its freshly sanded and refinished hardwood floors. The kitchen is equipped with granite","50 Hamilton St Unit 2, Medford, MA 02155",
"$2,800 per month",2 Beds,1 Bath,"1,160 Sq Ft",Condo for Rent,"Sun-filled, spacious and well-maintained second floor apartment available for rent 2/1/25. Upon entry through a designated shoe room and coat closet, open concept living room and dining room. Kitchen at back of home looks out to small, covered private porch and shared back deck and shed for outdoor storage. Equipped with all appliances including washing machine and dryer in kitchen. 2 bedrooms of","37 Willard Ave Unit 2, Medford, MA 02155",
"$3,900 per month",3 Beds,2 Baths,"1,700 Sq Ft",Townhouse for Rent,WELCOME HOME TO THIS OVER-SIZED CHARMING AND UPDATED TOWNHOUSE STYLE UNIT. CONSISTING OF THREE LEVELS OF LIVING SPACE WITH 3 BEDS AND 2 FULL BATHS PLUS ADDITIONAL BASEMENT AREA FOR STORAGE. OVER-SIZED LIVING ROOM AND DINING ROOM WITH BEAUTIFUL HARDWOOD FLOORS AND HIGH CEILINGS. BONUS ROOM OFF LIVING ROOM CAN BE USED AS A PERFECT HOME OFFICE OR ADDITIONAL SITTING AREA. SECOND FLOOR WITH TWO,"132 Allston St, Medford, MA 02155",
"$3,850 per month",3 Beds,2.5 Baths,"1,680 Sq Ft",Townhouse for Rent,"Stunning 3 bedroom/2.5 bathroom townhouse in Medford near Wellington T, Wegmans and Assembly Row! This townhouse spans three floors plus the garage. On the first floor you will find an open layout living area and kitchen, a half bathroom and balcony. Master bedroom, the second bedroom and another bathroom located on the second floor. And finally a large and specious third bedroom is located on","97 Myrtle St, Medford, MA 02155",
"$2,900 per month",2 Beds,2 Baths,"1,178 Sq Ft",Condo for Rent,"Welcome to Wellington Condominiums, 12 9th St Unit 502! Location! Condo Amenities/Leisure! Commuter’s Delight! This cozy corner unit boasts a large open living/dining room layout, spacious kitchen, 2 bedrooms, 2 full baths, in-unit washer/dryer, and excellent closet space. Also, features a west facing private balcony that brings lots of sun light through large sliding doors! Enjoy morning,","12 9th St Unit 202, Medford, MA 02155",
"$4,400 per month",4 Beds,1 Bath,"1,800 Sq Ft",Condo for Rent,"Huge 1900 sf duplex with living room dining area, sun room, eat in kitchen and a big study on second level.Three very large bedrooms and one bath on third level.In unit laundry.One offstreet parking spot included","27 Princeton St Unit 2, Medford, MA 02155",
"$3,975 per month",3 Beds,3 Baths,"2,000 Sq Ft",Condo for Rent,"Stunning and fully renovated duplex condominium just minutes from Medford Center! This move-in-ready 3-bedroom, 3-bathroom unit offers the perfect blend of style, comfort, and convenience. The spacious open floor plan is flooded with natural light from oversized windows, highlighting the beautiful hardwood floors throughout.The main floor features a chef’s dream kitchen with custom cabinetry,","231 Spring St Unit 1A, Medford, MA 02155",
"$4,300 per month",4 Beds,1 Bath,"1,460 Sq Ft",Condo for Rent,"Newly updated and freshly painted 3 plus bedroom apartment near Tufts. This unit has a large, open concept living and dining area that leads right into the renovated kitchen with brand new appliances, cabinets and counter tops. Enjoy an abundance of natural light throughout the day through the large windows surrounding the main level. Step out onto your private deck to enjoy the fresh air and sip","28 Hancock Ave Unit 2A, Medford, MA 02155",
"$3,400 per month",4 Beds,1 Bath,"2,250 Sq Ft",Condo for Rent,"Huge Clean and bright apartment occupying the 2nd and 3rd floor of a two family home. Low Move-In Cost: 1st month + $2000 sec, no agent fees. Quiet, dead end street abuts Capen Park and is less than a mile from Tufts, the new Green Line Station and Whole Foods. Minutes to Davis Square, Assembly Row, restaurants and shopping. 4 Bedrooms plus office space, living room, dining room and eat in","17 Stoughton St Unit 2, Medford, MA 02155",
"$4,350 per month",5 Beds,2 Baths,"1,500 Sq Ft",Townhouse for Rent,"Large Medford townhome situated on a corner lot and paved driveway. The home features 3 spacious bedrooms on the upper lever and two bonus bedrooms and a second living area on the lower level. Two bathrooms and a spacious eat in kitchen, hardwood floors throughout, and in-unit washer/dryer. Close to Assembly Row and Wegman's, with easy access to downtown Boston via 325 Express Bus and the Orange","349 Salem St, Medford, MA 02155",
"$4,400 per month",4 Beds,1 Bath,"1,900 Sq Ft",Townhouse for Rent,"Large Tufts Four Bed!! Huge 1900 sf duplex with living room dining area, sun room, eat in kitchen and a big study on second level.Three very large bedrooms and one bath on third level.In unit laundry.One offstreet parking spot included","27 Princeton St, Medford, MA 02155",
"$4,500 per month",3 Beds,2 Baths,"2,000 Sq Ft",House for Rent,Large single family home located in coveted Lawrence Estates in Medford. Main level features large eat-in kitchen plus dining room. Sunny living room with lots of natural light. Three good sized bedrooms and one full bathroom. Beautiful 3 season porch overlooking private yard. Lower level has additional family room with decorative fireplace and home office. 2nd bathroom located on this level as,"154 Lincoln Rd, Medford, MA 02155",
"$2,500 per month",2 Beds,1 Bath,"1,000 Sq Ft",Condo for Rent,"LOCATION steps to GREEN LINE! Available NOW - Spacious and Sunlit 2nd Floor unit in a 3 fam MINUTES to Ball and Davis Square GREEN LINE- Around the corner from cafes, restaurants and bakeries! 2- KING size bedrooms! Nice closet space! Hardwood Floors- Fully applianced kitchen- Ceramic Tile bathroom- Living Room and Dining Room- 2 Bedrooms- on site laundry. Oil heat. Quoted rate is for up to 2","10 Wareham St Unit 2, Medford, MA 02155",
"$3,000 per month",2 Beds,2 Baths,875 Sq Ft,Condo for Rent,"Newly renovated 2 bedroom, 2 bathroom apartment located in the heart of Medford Square. Enjoy the convenience of being within walking distance to shops, restaurants, grocery stores, and more. Each unit comes equipped with a washer and dryer, mini-split central air for efficient heating and cooling, and stunning stainless steel appliances. The modern kitchen boasts quartz countertops, and the","26 Bradlee Rd, Medford, MA 02155",
"$2,600 per month",2 Beds,1 Bath,950 Sq Ft,Condo for Rent,"Location! Location! This first floor unit in an owner-occupied building has a lot of updates in the last four years. All newer stainless steel appliances and bathroom was completely updated. This building is located at the corner and on quite side street but only one block from Salem St to allow easy access to restaurants, bank, coffee shops, laundromat and shopping (Target). Separated basement","16 Emerald St Unit 1, Medford, MA 02155",
